,Date,Stock Price,Stock Price Present
806,2019-05-23,73.79,1
807,2019-05-24,74.1,1
808,2019-05-25,74.1,0
809,2019-05-26,74.1,0
810,2019-05-27,74.1,0
811,2019-05-28,72.61,1
812,2019-05-29,72.16,1
813,2019-05-30,71.97,1
814,2019-05-31,70.77,1
815,2019-06-01,70.77,0
816,2019-06-02,70.77,0
817,2019-06-03,71.88,1
818,2019-06-04,73.59,1
819,2019-06-05,72.98,1
820,2019-06-06,74.31,1
821,2019-06-07,74.58,1
822,2019-06-08,74.58,0
823,2019-06-09,74.58,0
824,2019-06-10,74.91,1
825,2019-06-11,74.84,1
826,2019-06-12,74.03,1
827,2019-06-13,74.68,1
828,2019-06-14,74.35,1
829,2019-06-15,74.35,0
830,2019-06-16,74.35,0
831,2019-06-17,75.09,1
832,2019-06-18,75.74,1
833,2019-06-19,75.32,1
834,2019-06-20,76.61,1
835,2019-06-21,77.69,1
836,2019-06-22,77.69,0
837,2019-06-23,77.69,0
838,2019-06-24,76.95,1
839,2019-06-25,76.27,1
840,2019-06-26,76.6,1
841,2019-06-27,75.82,1
842,2019-06-28,76.63,1
843,2019-06-29,76.63,0
844,2019-06-30,76.63,0
845,2019-07-01,76.56,1
846,2019-07-02,75.72,1
847,2019-07-03,76.44,1
848,2019-07-04,76.44,0
849,2019-07-05,76.13,1
850,2019-07-06,76.13,0
851,2019-07-07,76.13,0
852,2019-07-08,76.48,1
853,2019-07-09,76.43,1
854,2019-07-10,77.51,1
855,2019-07-11,77.57,1
856,2019-07-12,77.63,1
857,2019-07-13,77.63,0
858,2019-07-14,77.63,0
859,2019-07-15,77.08,1
860,2019-07-16,75.93,1
861,2019-07-17,75.48,1
862,2019-07-18,74.84,1
863,2019-07-19,74.99,1
864,2019-07-20,74.99,0
865,2019-07-21,74.99,0
866,2019-07-22,75.07,1
867,2019-07-23,75.37,1
868,2019-07-24,75.36,1
869,2019-07-25,74.93,1
870,2019-07-26,74.81,1
871,2019-07-27,74.81,0
872,2019-07-28,74.81,0
873,2019-07-29,75.34,1
874,2019-07-30,75.35,1
875,2019-07-31,74.36,1
876,2019-08-01,72.46,1
877,2019-08-02,71.75,1
878,2019-08-03,71.75,0
879,2019-08-04,71.75,0
880,2019-08-05,70.28,1
881,2019-08-06,70.96,1
